****** Process <22192.235.0>    -- 100.00 % of profiled time *** 
FUNCTION                                                      CALLS        %      TIME  [uS / CALLS]
--------                                                      -----  -------      ----  [----------]
'Elixir.String.Chars':impl_for/1                                 25     0.00         8  [      0.32]
erlang:is_list/1                                                 77     0.00         8  [      0.10]
'Elixir.Inspect.Algebra':'simple?'/1                             99     0.00         9  [      0.09]
prim_inet:open/6                                                  1     0.00         9  [      9.00]
erlang:list_to_tuple/1                                           66     0.00         9  [      0.14]
'Elixir.Inspect.Algebra':decrement/1                            132     0.00        10  [      0.08]
'Elixir.MetricsLogger':increment/2                               11     0.00        10  [      0.91]
'Elixir.String.Chars':'impl_for!'/1                              25     0.00        10  [      0.40]
lists:member/2                                                   24     0.00        10  [      0.42]
'Elixir.Inspect':'impl_for!'/1                                  143     0.00        11  [      0.08]
'Elixir.Inspect.Algebra':'-container_doc/6-fun-0-'/4             88     0.00        11  [      0.13]
inet_db:res_optname/1                                            44     0.00        11  [      0.25]
lists:all_1/2                                                    77     0.00        11  [      0.14]
'Elixir.Inspect.Algebra':apply_nesting/3                        165     0.00        12  [      0.07]
'Elixir.Enum':'-zip_reduce/3-fun-1-'/3                           66     0.00        12  [      0.18]
gen_server:decode_msg/9                                          14     0.00        12  [      0.86]
'Elixir.GenServer':cast/2                                        23     0.00        13  [      0.57]
unicode:characters_to_binary/3                                   12     0.00        13  [      1.08]
'Elixir.Inspect.Opts':default_inspect_fun/0                      11     0.00        13  [      1.18]
inet_udp:getaddr/1                                               22     0.00        13  [      0.59]
'Elixir.Inspect':impl_for/1                                     143     0.00        14  [      0.10]
'Elixir.Inspect.Algebra':join/4                                  88     0.00        14  [      0.16]
inet_gethost_native:gethostbyname/2                              22     0.00        14  [      0.64]
inet:stop_timer/1                                                22     0.00        14  [      0.64]
gen_server:handle_common_reply/8                                 13     0.00        14  [      1.08]
inet_db:tolower/1                                                44     0.00        15  [      0.34]
'Elixir.GenServer':do_send/2                                     23     0.00        16  [      0.70]
inet_db:gethostname/0                                            22     0.00        16  [      0.73]
'Elixir.Enum':'-zip/1-fun-0-'/2                                  66     0.00        16  [      0.24]
'Elixir.Float':floor/2                                           33     0.00        17  [      0.52]
erlang:iolist_to_binary/1                                        46     0.00        17  [      0.37]
'Elixir.Access':get/3                                            11     0.00        18  [      1.64]
'Elixir.Inspect.Algebra':fold_doc/2                             132     0.00        19  [      0.14]
'Elixir.Keyword':get/2                                          231     0.00        19  [      0.08]
'Elixir.GridSearchWorker':transform_params/1                     22     0.00        19  [      0.86]
'Elixir.Inspect.Opts':new/1                                      11     0.00        19  [      1.73]
inet:gethostbyname_tm/4                                          44     0.00        19  [      0.43]
lists:all/2                                                      22     0.00        19  [      0.86]
'Elixir.Inspect.Algebra':flex_glue/3                             88     0.00        20  [      0.23]
'Elixir.IO':puts/2                                               12     0.00        20  [      1.67]
os:system_time/1                                                 22     0.00        22  [      1.00]
gen_server:try_handle_cast/3                                     13     0.00        22  [      1.69]
io:put_chars/2                                                   12     0.00        23  [      1.92]
erlang:binary_to_list/1                                          22     0.00        23  [      1.05]
inet_parse:visible_string/1                                     198     0.00        24  [      0.12]
io:request/3                                                     24     0.00        25  [      1.04]
erlang:integer_to_binary/2                                       53     0.00        25  [      0.47]
'Elixir.Inspect.Integer':inspect/2                               53     0.00        26  [      0.49]
'Elixir.Stream':zip_with/2                                       22     0.00        26  [      1.18]
inet:getaddr_tm/3                                                22     0.00        26  [      1.18]
inet_db:lookup_socket/1                                          22     0.00        27  [      1.23]
'Elixir.GridSearch.Params':new/3                                 11     0.00        27  [      2.45]
